# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.678185701370239258e-01 2.293780148029327393e-01 1.047961115837097168e+00
1.000000000000000000e+03 2.178567374357953668e-04 2.258348686154931784e-04 3.288249671459197998e-02
2.000000000000000000e+03 3.991248013335280120e-05 6.507195212179794908e-05 1.765087433159351349e-02
3.000000000000000000e+03 2.720782504184171557e-06 2.865781789296306670e-05 1.171361282467842102e-02
4.000000000000000000e+03 3.279712359471886884e-07 2.361986298637930304e-05 1.063427701592445374e-02
5.000000000000000000e+03 4.236221684550400823e-07 2.224120726168621331e-05 1.031925808638334274e-02
6.000000000000000000e+03 3.042956222998327576e-06 2.360254984523635358e-05 1.063037943094968796e-02
7.000000000000000000e+03 3.092315523645083886e-07 2.115609822794795036e-05 1.006438024342060089e-02
8.000000000000000000e+03 3.371246179995068815e-07 2.129109270754270256e-05 1.009644009172916412e-02
9.000000000000000000e+03 7.231804488583293278e-07 2.184953154937829822e-05 1.022799126803874969e-02
1.000000000000000000e+04 1.576723320795281325e-07 2.032051088463049382e-05 9.863625280559062958e-03
